zipcode,market,Days_Count,Claim_Count,AvgClaimsPerDay,radius,area,adj_zip_30
30017,Atlanta GA,7,7,1.0,3.0,11.96,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30055' '30058' '30062' '30067' '30068'
 '30071' '30072' '30075' '30076' '30078' '30079' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30260' '30273' '30281'
 '30288' '30294' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319'
 '30324' '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341'
 '30342' '30345' '30346' '30350' '30354' '30360' '30363' '30504' '30507'
 '30517' '30518' '30519' '30542' '30548' '30549' '30566' '30567' '30620'
 '30621' '30622' '30655' '30656' '30663' '30666' '30680']"
30019,Atlanta GA,17,20,1.1764705882352942,8.0,46.33,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30017' '30019'
 '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033' '30034'
 '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30052' '30054' '30058' '30071' '30072' '30075' '30076' '30078'
 '30079' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30307' '30317' '30319' '30324' '30326' '30328' '30329' '30338'
 '30340' '30341' '30342' '30345' '30346' '30350' '30360' '30501' '30504'
 '30506' '30507' '30517' '30518' '30519' '30529' '30542' '30543' '30548'
 '30549' '30558' '30565' '30566' '30567' '30601' '30606' '30607' '30620'
 '30621' '30622' '30655' '30656' '30663' '30666' '30677' '30680']"
30021,Atlanta GA,6,6,1.0,2.0,3.54,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30064' '30066'
 '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30102' '30106' '30115' '30122' '30126' '30127' '30134' '30135'
 '30144' '30152' '30168' '30188' '30189' '30213' '30214' '30228' '30236'
 '30238' '30252' '30253' '30260' '30273' '30274' '30281' '30288' '30291'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337' '30338'
 '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349' '30350'
 '30354' '30360' '30363' '30518' '30519']"
30022,Atlanta GA,23,27,1.173913043478261,5.0,25.44,"['30004' '30005' '30008' '30009' '30011' '30012' '30017' '30019' '30021'
 '30022' '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30096' '30097' '30101' '30102' '30106' '30107'
 '30114' '30115' '30122' '30126' '30127' '30144' '30152' '30168' '30183'
 '30188' '30189' '30288' '30294' '30297' '30303' '30305' '30306' '30307'
 '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315' '30316'
 '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329' '30331'
 '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345' '30346'
 '30350' '30354' '30360' '30363' '30504' '30506' '30517' '30518' '30519'
 '30534' '30542' '30548' '30566' '30620']"
30024,Atlanta GA,23,29,1.2608695652173914,6.0,42.55,"['30004' '30005' '30009' '30011' '30012' '30013' '30017' '30019' '30021'
 '30022' '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052'
 '30054' '30058' '30060' '30062' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30107' '30114' '30115'
 '30144' '30188' '30189' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319'
 '30324' '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341'
 '30342' '30345' '30346' '30350' '30360' '30363' '30501' '30504' '30506'
 '30507' '30517' '30518' '30519' '30534' '30542' '30543' '30548' '30549'
 '30566' '30567' '30620' '30655' '30656' '30666' '30680']"
30025,Atlanta GA,5,5,1.0,7.0,67.72,"['30011' '30012' '30013' '30014' '30016' '30017' '30019' '30025' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30055' '30056' '30058' '30078' '30083' '30087' '30088' '30094' '30216'
 '30233' '30234' '30252' '30253' '30605' '30606' '30607' '30620' '30621'
 '30622' '30625' '30650' '30655' '30656' '30663' '30666' '30677' '30680'
 '31064']"
30028,Atlanta GA,7,9,1.2857142857142858,8.0,51.02,"['30004' '30005' '30009' '30011' '30017' '30019' '30021' '30022' '30024'
 '30028' '30033' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30052' '30062' '30066' '30067' '30068' '30071' '30072' '30075'
 '30076' '30078' '30079' '30083' '30084' '30087' '30092' '30093' '30096'
 '30097' '30107' '30114' '30115' '30143' '30183' '30188' '30189' '30319'
 '30326' '30327' '30328' '30329' '30338' '30340' '30341' '30342' '30345'
 '30346' '30350' '30360' '30501' '30504' '30506' '30507' '30517' '30518'
 '30519' '30527' '30533' '30534' '30542' '30543' '30548' '30549' '30554'
 '30566' '30567' '30620' '30680']"
30030,Atlanta GA,8,9,1.125,2.0,6.51,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30101' '30102' '30106'
 '30122' '30126' '30127' '30134' '30135' '30141' '30144' '30152' '30168'
 '30188' '30189' '30213' '30214' '30215' '30228' '30236' '30238' '30252'
 '30253' '30260' '30268' '30273' '30274' '30281' '30288' '30290' '30291'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337' '30338'
 '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349' '30350'
 '30354' '30360' '30363' '30518' '30519']"
30032,Atlanta GA,13,13,1.0,3.0,13.63,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30106' '30122' '30126'
 '30127' '30134' '30135' '30144' '30152' '30168' '30188' '30213' '30214'
 '30215' '30228' '30236' '30238' '30248' '30252' '30253' '30260' '30268'
 '30269' '30273' '30274' '30281' '30288' '30290' '30291' '30294' '30296'
 '30297' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340'
 '30341' '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360'
 '30363' '30518']"
30033,Atlanta GA,4,4,1.0,3.0,9.24,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30064' '30066'
 '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30101' '30102' '30106' '30115' '30122' '30126' '30127' '30134'
 '30135' '30141' '30144' '30152' '30168' '30188' '30189' '30213' '30214'
 '30228' '30236' '30238' '30252' '30253' '30260' '30273' '30274' '30281'
 '30288' '30290' '30291' '30294' '30296' '30297' '30303' '30305' '30306'
 '30307' '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30331' '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345'
 '30346' '30349' '30350' '30354' '30360' '30363' '30518' '30519']"
